	Unnamed: 0	cote	article_id	article_titre	revue_annee	page	article_description	article_section
28	13609	90156x1898x70	AMN-1898-26	Colonne expéditionnaire dans la Haut-Dahomey, par le Dr Bartet	1898	26	 Composition de la compagnie. / Recrutement de porteurs	article
29	13623	90156x1898x70	AMN-1898-65	Chaussure du fantassin. Par le Dr Prat	1898	65	 / Variétés. / Considérations sur des cas cliniques observés pendant la campagne de Cuba, par le Dr Gonzalez Granda... (Revista de Sanidad militar, 1er février 1898.)	article
30	13630	90156x1898x70	AMN-1898-81	Colonne expéditionnaire dans le Haut-Dahomey, par le Dr Bartet, 	1898	81	 (Suite.)	article
31	13666	90156x1898x70	AMN-1898-136	Secours aux blessés. Salles opératoires. - Moyens de transport, par le Dr C. Auffret	1898	136	 I. Salles opératoires. / Salle opératoire de Rochefort	article
32	13694	90156x1898x70	AMN-1898-185	Secours aux blessés. / Salles opératoires. - Moyens de transport, par le Dr C. Auffret, 	1898	185	 (Suite et fin.). / III. Appareils de transport des blessés maritimes. Gouttières métalliques	article
33	13695	90156x1898x70	AMN-1898-192	Secours aux blessés. Salles opératoires. - Moyens de transport, par le Dr C. Auffret, 	1898	192	 (Suite et fin.). III. Appareils de transport des blessés maritimes. Gouttières métalliques. / Gouttière en osier	article
34	13697	90156x1898x70	AMN-1898-194	Désinfection et antisepsie, par le Dr Salanoue	1898	194	 / I. Désinfection par les moyens physiques. / A. Chaleur sèche	article
35	13712	90156x1898x70	AMN-1898-223	Deux cas de luxation sus-acromiale de l'épaule, traités par la suture osseuse à l'hôpital de la marine de Lorient, par le Dr Cairon	1898	223	 Observation I. / Observation II	article
36	13714	90156x1898x70	AMN-1898-232	Variétés. L'état des médecins à bord des navires. Il y a deux siècles. [Dr Gros.]. / Note sur l'extension de la tuberculose pulmonaire en Islande	1898	232		article
37	13715	90156x1898x70	AMN-1898-234	Variétés. Note sur l'extension de la tuberculose pulmonaire en Islande. [Dr Chastang.]. / La vie moyenne dans les divers pays d'Europe. (Bulletin général de thérapeutique.)	1898	234		article
38	13719	90156x1898x70	AMN-1898-241	Deux cas frustes de myxoedème spontané de l'adulte, par le Dr P.-A. Boudou, 	1898	241		article
39	13727	90156x1898x70	AMN-1898-282	Essai de détatouage par un procédé nouveau, par le Dr Félix Brunet, 	1898	282	 / Observation I. / Observation II. / Observation III. / Observation IV. / Observation V. / Observation VI. / Observation VII. / Observation VIII. / Observation IX	article
40	13733	90156x1898x70	AMN-1898-296	La pression osmotique du sang humain dans ses rapports avec le volume des éléments figurés, par le Dr Eijkmann. (Journal de médecine des Indes hollandaises.). Traduit du hollandais par le Dr Gros, 	1898	296	 Calcul de la pression osmotique. / Méthode du calcul	article
41	13746	90156x1898x70	AMN-1898-321	Note sur les coffres à médicaments et à pansements, par M. le Dr Rouvier	1898	321		article
42	13747	90156x1898x70	AMN-1898-326	Nos pêcheurs d'Islande (hygiène et pathologie professionnelles, assistance médicale), par le Dr L. Chastang, 	1898	326	 Avant-propos	article
43	13749	90156x1898x70	AMN-1898-329	Nos pêcheurs d'Islande (hygiène et pathologie professionnelles, assistance médicale), par le Dr L. Chastang	1898	329	 I. Considérations préliminaires. Les navires. - Les équipages. - La pêche. Les ports d'armement. / Les navires	article
44	13767	90156x1898x70	AMN-1898-382	Variétés. Un hôpital flottant à New-York. / De l'habillement et de l'équipement dans le cas de débarquement, sous les tropiques, par le Dr Freymadl, 	1898	382	 (Marine-Rundchau, novembre 1897.)	article
45	13768	90156x1898x70	AMN-1898-383	Variétés. De l'habillement et de l'équipement dans le cas de débarquement, sous les tropiques, par le Dr Freymadl, 	1898	383	 (Marine-Rundchau, novembre 1897.). [Dr Onimus.]. / La consommation du tabac. (Bulletin général de thérapeutique.)	article
46	13799	90156x1898x70	AMN-1898-447	Secours aux blessés maritimes. Mobilier médical de bord en métal, par le Dr C. Auffret, 	1898	447	 / A. Table à opérations	article
47	13800	90156x1898x70	AMN-1898-452	Secours aux blessés maritimes. Mobilier médical de bord en métal, par le Dr C. Auffret	1898	452	 A. Table à opérations. / B. Table à pansements	article
48	13805	90156x1898x70	AMN-1898-460	Nouveau procédé d'analyse du bronze blanc et du métal antifriction, par MM. P. Trouchet, 	1898	460	 et Tambon, ... / Bases du procédé	article
49	13820	90156x1899x71	AMN-1899-5	La lèpre en Nouvelle-Calédonie, par A. Auché	1899	5		article
50	13849	90156x1899x71	AMN-1899-47	La tuberculose dans la marine (statistique -mesures prophylactiques). Par le Dr L. Vincent	1899	47	 / Morbidité	article
51	13852	90156x1899x71	AMN-1899-58	Sur le traitement du Craw-Craw. Par le Dr J. Emily	1899	58	 / Obs. N° 1	article
52	13860	90156x1899x71	AMN-1899-81	La lèpre en Nouvelle-Calédonie. Par A. Auché,	1899	81	 (Suite.). / Lépreux indigènes dans les tribus	article
53	13906	90156x1899x71	AMN-1899-145	Phagédénisme des pays chauds, son identité avec la pourriture d'hôpital, pathogénie, symptômes, traitement. Par le Dr Le Dantec	1899	145	 / Les blessés de Manille. Par le Dr Brémaud..	article
54	13907	90156x1899x71	AMN-1899-149	Les blessés de Manille. Par le Dr Brémaud	1899	149	 / Variétés. / Marins des grandes pêches (campagne de 1898)	article
55	13937	90156x1899x71	AMN-1899-194	Rôle de l'insuffisance en matières grasses de la ration alimentaire dans l'étiologie du béribéri. / Hygiène préventive et thérapeutique basées sur cette étiologie, par le Dr L. Laurent	1899	194		article
56	13938	90156x1899x71	AMN-1899-200	Rôle de l'insuffisance en matières grasses de la ration alimentaire dans l'étiologie du béribéri. Hygiène préventive et thérapeutique basées sur cette étiologie, par le Dr L. Laurent	1899	200	 / Influence hydro-tellurique	article
57	13942	90156x1899x71	AMN-1899-217	Syndrôme typho-malarien. / Communication faite dans la conférence médicale du mois de Novembre 1897. Par le Dr Joseph Alvaro,	1899	217	 Traduit par le Dr Depied..	article
58	13955	90156x1899x71	AMN-1899-262	Rapport sur l'état sanitaire du poste de Lao-Kay (Tonkin), par le Dr Fruitet	1899	262	 / Mesures prises. / 1° Locaux. / 2° Eau de boisson	article
59	13958	90156x1899x71	AMN-1899-267	De l'usage externe de la solution de chlorure de chaux, par le Dr Paul Petit	1899	267	 / Prescription n° 1	article
60	13961	90156x1899x71	AMN-1899-273	Épidémie d'oreillons observée sur le vaisseau-école la couronne en 1896, par le Dr Lesueur-Florent	1899	273	 / II	article
61	13966	90156x1899x71	AMN-1899-306	Ictère grave. Traité par les injections de sérum artificiel. Par le Dr A. Valence	1899	306	 / Note relative à une tente adaptée au Hamac-Gouttière, par le Dr Guézennec..	article
62	13967	90156x1899x71	AMN-1899-309	Note relative à une tente adaptée au Hamac-Gouttière, par le Dr Guézennec	1899	309	 / Variétés. / Aperçu médical sur les opérations de l'escadre américaine de l'Atlantique nord pendant la guerre avec l'Espagne	article
63	13976	90156x1899x71	AMN-1899-369	Éloge d'Amédée Lefèvre, par le Dr Le Méhauté	1899	369	 / Note sur l'étiologie et l'hygiène préventive du béribéri, par le Dr P. Brémaud..	article
64	13977	90156x1899x71	AMN-1899-376	Note sur l'étiologie et l'hygiène préventive du béribéri, par le Dr P. Brémaud	1899	376	 / Le service de santé dans l'Inde (Indian medical service), par le Dr H. Gros..	article
65	13978	90156x1899x71	AMN-1899-377	Le service de santé dans l'Inde (Indian medical service), par le Dr H. Gros	1899	377	 / Conditions d'admission	article
66	13991	90156x1899x71	AMN-1899-394	Variétés. / Le bleu d'éthyle en ophthalmologie	1899	394		article
67	13992	90156x1899x71	AMN-1899-395	Variétés. Hôpital de Ponta-Delgada (San-Miguel, Acores)	1899	395		article
68	13997	90156x1899x71	AMN-1899-426	Rapport sur l'épidémie de fièvre typhoïde de Cherbourg (Novembre 1898-Février 1899), par le Dr Nollet	1899	426	 / Marche de la maladie d'une façon générale	article
69	14014	90156x1899x71	AMN-1899-451	Étude sur le matériel servant au transport et au couchage des malades et blessés à bord des bâtiments de la flotte, par le Dr du Bois Saint-Sévrin	1899	451	 Matériel actuellement en service ; ses inconvénients. / Améliorations désirables	article
70	14017	90156x1899x71	AMN-1899-463	Le procédé de Moreschi pour la cure des ulcères variqueux de la jambe, par le Dr Ugo Belelli, traduit par le Dr Lassabatie	1899	463		article
71	14026	90156x1899x72	AMN-1899-5	Le tokelau dans les possessions françaises du pacifique oriental, par le Dr Tribondeau	1899	5	 / Introduction	article
72	14060	90156x1899x72	AMN-1899-58	Rapport annuel du médecin en chef de la marine des États-Unis. (Army and Navy, Register 15th october 1898.). Traduction. Par le Dr Galliot, 	1899	58		article
73	14064	90156x1899x72	AMN-1899-81	Notes d'hygiène sur le cuirassé le Gaulois, par le Dr Onimus, 	1899	81	 / I	article
74	14094	90156x1899x72	AMN-1899-134	Notes sur les Nouvelles-Hébrides, par le Dr Bernal, 	1899	134	 / Météorologie	article
75	14097	90156x1899x72	AMN-1899-143	Note sur l'épidémie de béribéri de 1898 à Poulo-Condore, par le Dr L. Laurent, 	1899	143	 / Variétés. / Rapport annuel sur le service de santé de la marine néerlandaise pour l'année 1898, par L. P. Gijsberti Hodenpijl, ..	article
76	14098	90156x1899x72	AMN-1899-148	Variétés. Rapport annuel sur le service de santé de la marine néerlandaise pour l'année 1898, par L. P. Gijsberti Hodenpijl, 	1899	148	 [Dr Gros.] / Bibliographie. / Revue des journaux étrangers, (Archiv. für Schiffs und Tropen Higiène, vol. I, 1897.). / Dr Kiesshing. - Report on the Aschanti expedition 1895-1899 Taylor (Roth's Jahresbericht.)	article
77	14105	90156x1899x72	AMN-1899-161	Rapport du docteur H. Lorans sur sa mission dans l'Inde, traduit de l'anglais. Par le Dr Duval, 	1899	161	 / Début de l'épidémie	article
78	14142	90156x1899x72	AMN-1899-199	Du traitement de la contusion et de l'entorse du genou avec épanchement, par le Dr Machenaud, 	1899	199		article
79	14147	90156x1899x72	AMN-1899-213	Procédé de M. le médecin-major de 1re classe Isambert, 	1899	213	, pour l'opération du phimosis, par le Dr Donnart, ... / Variétés. / Report of the Surgeon general, U. S. Navy, ... to the Secretary of the navy 1897 (Rapport du Chirurgien général de la marine des États-Unis, ..., au Secrétaire à la Marine pour 1897. 320 pages)	article
80	14148	90156x1899x72	AMN-1899-218	Variétés. Report of the Surgeon general, U. S. Navy, 	1899	218	 to the Secretary of the navy 1897 (Rapport du Chirurgien général de la marine des États-Unis, ..., au Secrétaire à la Marine pour 1897. 320 pages). / Dr L. Martin. - Les hôpitaux de coolies à la côte nord-est de Sumatra	article
81	14149	90156x1899x72	AMN-1899-220	Variétés. Dr L. Martin. - Les hôpitaux de coolies à la côte nord-est de Sumatra. / Géographie médicale. / Extraits des travaux du Conseil de santé impérial allemand, vol. XIII, 1896, d'après les Archiv für Schiffs und Tropen Hygiene, p. 334 et suiv. (Arbeiten aus dem Kaiserlichen Gesundheitsamt). / I. Schwabe. - Rapport médical sur Jab	1899	220		article
82	14150	90156x1899x72	AMN-1899-221	Variétés. Géographie médicale. Extraits des travaux du Conseil de santé impérial allemand, vol. XIII, 1896, d'après les Archiv für Schiffs und Tropen Hygiene, p. 334 et suiv. (Arbeiten aus dem Kaiserlichen Gesundheitsamt). I. Schwabe. - Rapport médical sur Jab. / II. Plehn. - Le climat et l'état sanitaire du Cameroon du 1er juillet 1894 au 30 juin 1895. / F. Plehn. - La climatologie et la pathologie du Cameroon	1899	221		article
83	14160	90156x1899x72	AMN-1899-241	Étude sur la pathologie des européens dans l'Autsianaka (Madagascar) et notamment sur la fièvre bilieuse hématurique, par le Dr Laffay, 	1899	241		article
84	14174	90156x1899x72	AMN-1899-263	Potages condensés pour l'alimentation des troupes en campagne, par Vignoli, 	1899	263	 / Potage condensé (saucisse boissonnet)	article
85	14184	90156x1899x72	AMN-1899-283	Services de chirurgie du port de Rochefort (Statistique du premier semestre de 1899), par le Dr Fontorbe, 	1899	283	 / Épidémie de peste bubonique observée à Ping S'Hiang (Kouang-Si [Chine]), mai-juin 1898, par le Dr Thoulon, ..	article
86	14185	90156x1899x72	AMN-1899-286	Épidémie de peste bubonique observée à Ping S'Hiang (Kouang-Si [Chine]), mai-juin 1898, par le Dr Thoulon, 	1899	286	 / Observation I	article
87	14191	90156x1899x72	AMN-1899-300	Variétés. / Les associations de médecins de la marine en Allemagne	1899	300		article
88	14192	90156x1899x72	AMN-1899-302	Variétés. Les associations de médecins de la marine en Allemagne. [Dr Gros.] / L'impaludisation par le moustique. (The Lancet, 9 septembre 1899.)	1899	302		article
89	14193	90156x1899x72	AMN-1899-304	Variétés. / Le pansement japonais au charbon de paille. (Archives de médecine et de pharmacie militaires, t. XXVII, Dr Matignon ; t. XXXIV, Février-Robert.)	1899	304		article
90	14201	90156x1899x72	AMN-1899-321	Rapport sur les expériences comparatives de désinfection, effectuées au laboratoire de bactériologie de l'hôpital maritime de Lorient, au moyen de l'aldéhyde formique (procédés de l'autoclave formogène Trillat et du dissociateur Guasco), et de l'anhydride sulfureux. Par les Drs Du Bois Saint-Sevrin et Pélissier	1899	321		article
91	14227	90156x1899x72	AMN-1899-356	Clinique chirurgicale de Rochefort. I. Gastrotomie (procédé de Fontan) pour rétrécissement de l'oesophage, par le Dr Fontorbe, 	1899	356	 / II. Hernie inguinale appendiculaire (cure radicale), par le Dr G. Gorron, ..	article
92	14228	90156x1899x72	AMN-1899-358	Clinique chirurgicale de Rochefort. II. Hernie inguinale appendiculaire (cure radicale), par le Dr G. Gorron, 	1899	358	 / Note sur le transport des blessés au poste de combat, à bord des bâtiments de la flotte, par le Dr Léo, ..	article
93	14229	90156x1899x72	AMN-1899-364	Note sur le transport des blessés au poste de combat, à bord des bâtiments de la flotte, par le Dr Léo, 	1899	364	 / Conclusions. / L'hygiène des marins pêcheurs et la pêche hauturière à vapeur, par le Dr L. Baret, ..	article
94	14230	90156x1899x72	AMN-1899-377	L'hygiène des marins pêcheurs et la pêche hauturière à vapeur, par le Dr L. Baret, 	1899	377	 / Note sur la carrière scientifique du Dr Arlaud, par le Dr Cunéo, ..	article
95	14231	90156x1899x72	AMN-1899-381	Variétés. / Statistique médicale des Indes néerlandaises pour 1897	1899	381		Statistique médicale
96	14232	90156x1899x72	AMN-1899-385	Variétés. Statistique médicale des Indes néerlandaises pour 1897. / Navires-hôpitaux de la Croix-Rouge japonaise	1899	385		Statistique médicale
97	14235	90156x1899x72	AMN-1899-401	Rapport sur les expériences comparatives de désinfection effectuées au laboratoire de bactériologie de l'hôpital maritime de Lorient, au moyen de la méthode de M. E. Fournier, par les Drs Du Bois Saint-Sevrin et Bonnefoy, 	1899	401	 / Désinfection des locaux	article
98	14246	90156x1899x72	AMN-1899-417	Rapport de la conférence sur la syphilis qui s'est réunie à Bruxelles, le 4 septembre 1899, par le Dr Auffret, 	1899	417	 / Réglementaristes	article
99	14255	90156x1899x72	AMN-1899-434	Notes d'hygiène sur le croiseur-école l'Iphigénie. Historique des améliorations. Par le Dr Gazeau, 	1899	434	 Coup d'oeil rétrospectif sur le navire. / Encombrement	article
100	14261	90156x1899x72	AMN-1899-445	Plaies pénétrantes de l'abdomen, par le Dr Lassabatie, 	1899	445	 / Observation. Plaie pénétrante de l'abdomen. Issue de 70 à 80 centimètres d'intestin grêle. Plaie perforante et plaie non perforante de l'anse herniée. Guérison	article
101	14275	90156x1899x72	AMN-1899-467	Variétés. Rapports annuels du parc vaccinogène et de l'Institut Pasteur de Weltvreden. (Journal de médecine des Indes néerlandaises en 1898.). [Dr Gros.] / Treizième congrès international de médecine	1899	467		article
102	14282	90156x1900x73	AMN-1900-5	Coup de chaleur et coup de soleil (Étiologie pathogénie, traitement.). Par le Dr Moussoir,	1900	5	 / I. Coup de chaleur. / Définition	article
103	14299	90156x1900x73	AMN-1900-44	Clinique chirurgicale de Brest. I. Plaie d'arme à feu par balle de revolver au niveau du pli du coude. - Diagnositc radioscopique. Par le Dr Barret,	1900	44	 / II. Carie du manche du sternum et de la troisième côte droite résection suivie de guérison. (Observation recueillie par un médecin de 2e classe Avérous, dans le service de M. le médecin en chef Barret)	article
104	14300	90156x1900x73	AMN-1900-48	Disparition du kakké (béribéri) dans la marine japonaise. Par le Dr Tatsusaburo Yabé	1900	48		article
105	14303	90156x1900x73	AMN-1900-57	Fracture de la voûte du crâne, sans plaie. Épanchement sanguin extra-dural dû à la rupture d'une branche de la méningée moyenne. - Trépanation. - Ligature du vaisseau divisé. - Guérison. Par le Dr J. Tissot, 	1900	57	 / Une cause inattendue de lésion pulmonaire offrant les caractères de la tuberculose au début, par le Dr P. de Champeaux,.	article
106	14304	90156x1900x73	AMN-1900-63	Une cause inattendue de lésion pulmonaire offrant les caractères de la tuberculose au début, par le Dr P. de Champeaux,	1900	63	 / Conclusions	article
107	14306	90156x1900x73	AMN-1900-66	Variétés. Statistique de la marine japonaise pour 1895, d'après le Dr Wilm. (Marine-Rundschau, octobre 1898, p. 1393.). / Dr Reinhold Ruge, 	1900	66	 - Les hôpitaux militaires espagnols de l'Ancien et du Nouveau Monde. La morbidité et la mortalité de l'armée espagnole à Cuba pendant l'année 1897. (Archiv für Schiff- und Tropen-Hygien, vol. II, p. 218, et Notes d'hygiène et de pathologie sur la Havane, eod. loco, p. 269.)	article
108	14307	90156x1900x73	AMN-1900-68	Variétés. Dr Reinhold Ruge, 	1900	68	 - Les hôpitaux militaires espagnols de l'Ancien et du Nouveau Monde. La morbidité et la mortalité de l'armée espagnole à Cuba pendant l'année 1897. (Archiv für Schiff- und Tropen-Hygien, vol. II, p. 218, et Notes d'hygiène et de pathologie sur la Havane, eod. loco, p. 269.). [Dr H. Gros.]. / Bibliographie. / Dr Martini,... - Les insulaires de l'île Matty. Marine-Rundschau. H. 1, 117. 1898.)	article
109	14314	90156x1900x73	AMN-1900-81	La lèpre dans le cercle de Thiès (Sénégal), par le Dr Vergues	1900	81		article
110	14323	90156x1900x73	AMN-1900-114	Notes d'hygiène navale recueillies pendant une campagne dans l'océan Atlantique. Par le Dr Guézennec,	1900	114	 / Baie de Fort-de-France. / Fort-de-France	article
111	14337	90156x1900x73	AMN-1900-143	Notes sur un type de brancard suspendu destiné aux troupes opérant aux colonies, par le Dr Gastinel,	1900	143	 / Du varicocèle et de son traitement, par le Dr Etourneau,.	article
112	14338	90156x1900x73	AMN-1900-145	Du varicocèle et de son traitement, par le Dr Etourneau,	1900	145	 / Procédés opératoires	article
113	14339	90156x1900x73	AMN-1900-149	De la blennorrhagie rhumatismale et de son traitement alcalin, par le Dr Astius Castellan	1900	149		article
114	14344	90156x1900x73	AMN-1900-161	Notes sur le paludisme, par le Dr H. Gros,	1900	161		article
115	14352	90156x1900x73	AMN-1900-204	Le paludisme dans la défense mobile de la Corse. Par le Dr Lacarrière,	1900	204	 / Rapatriement	article
116	14358	90156x1900x73	AMN-1900-217	Note sur l'étuve autoclave du cuirassé le Gaulois. Par le Dr Onimus,	1900	217	 / Description de l'appareil	article
117	14361	90156x1900x73	AMN-1900-223	Bataillon d'infanterie de marine stationné à Diégo-Suarez (Madagascar). Par le Dr Aynès,	1900	223	 / Formation et recrutement du bataillon	article
118	14376	90156x1900x73	AMN-1900-274	Évolution du paludisme, par le Dr Guiart,	1900	274	 / Étiologie	article
119	14379	90156x1900x73	AMN-1900-281	Notes sur Kouang-Tchéou-Wan, par le Dr Buffon,	1900	281	 / Renseignements géographiques sommaires	article
120	14387	90156x1900x73	AMN-1900-293	Faits cliniques. Par le Dr Machenaud,	1900	293	 I. - Mutilation de la main. / Index. / Médius. / Annulaire. / Auriculaire. / Paume de la main	article
121	14390	90156x1900x73	AMN-1900-300	Projet d'installation d'un second plafond en amiante pour diminuer la chaleur des chambres et de l'infirmerie. Par le Dr Bourdon	1900	300	 / Variétés. / Statistique médicale de la marine impériale allemande du 1er avril 1895 au 31 mars 1897	article
122	14396	90156x1900x73	AMN-1900-321	Rapport médical d'inspection générale de 1899 sur le 4e régiment de tirailleurs tonkinois, par le Dr Robert,	1900	321	 Titre Ier. Exposition de l'état sanitaire du corps depuis la dernière inspection générale. 1° Effectif moyen du corps	article
123	14421	90156x1900x73	AMN-1900-368	Service médical pendant le combat, par le Dr Jourdan,	1900	368	 / A. - Emplacements. / 1° Poste des blessés	article
124	14433	90156x1900x73	AMN-1900-386	Variétés. / Rapport annuel sur l'état sanitaire de la marine néerlandaise pour l'année 1898	1900	386		article
125	14434	90156x1900x73	AMN-1900-389	Variétés. / Coffre à médicaments Duhamelet pour les navires faisant la pêche de la morue sur les bancs de Terre-Neuve	1900	389		article
126	14439	90156x1900x73	AMN-1900-401	La tuberculose dans l'arsenal maritime de Brest (étiologie - phophylaxie), par le Dr Auffret	1900	401		article
127	14461	90156x1900x73	AMN-1900-460	Accidents de paralysie spasmodique observés chez les pêcheurs d'éponges, par le Dr Barbe, 	1900	460	 / Première observation	article
128	14473	90156x1900x74	AMN-1900-5	Le paludisme et les moustiques, par le Dr Salanoue-Ipin,	1900	5		article
129	14478	90156x1900x74	AMN-1900-43	De l'accoutumance aux médicaments opothérapiques, par le Dr Brunet,	1900	43	 / Épidémie de grippe, par le Dr Machenaud,..	article
130	14479	90156x1900x74	AMN-1900-52	Épidémie de grippe, par le Dr Machenaud,	1900	52	 / Cas remarquable de rougeole maligne et compliquée, suivie de guérison après un long traitement (établissement de la marine à Indret), par le Dr Damian,..	article
131	14480	90156x1900x74	AMN-1900-55	Cas remarquable de rougeole maligne et compliquée, suivie de guérison après un long traitement (établissement de la marine à Indret), par le Dr Damian,	1900	55	 / Éclatement de la face produit à bout portant par coup de feu (fusil lebel) tiré dans la région sus-Hyoïdienne, par le docteur Avérous,..	article
132	14495	90156x1900x74	AMN-1900-81	Rapport médical sur la mission marchand de Loango à Djibouti par Fachoda (1896-1899). Par le Dr J. Émily,	1900	81	 / Introduction	article
133	14497	90156x1900x74	AMN-1900-107	Notes sur l'éléphantiasis du membre supérieur, par le Dr Tribondeau,	1900	107	 / I. - Observations. / Observation I	article
134	14519	90156x1900x74	AMN-1900-139	Deux cas de fracture du deuxième métatarsien. Par le Dr Paucot	1900	139	 / Note sur les traitement sénégalais de la fièvre jaune. Par le Dr Sadoul..	article
135	14520	90156x1900x74	AMN-1900-141	Variétés. / Inauguration à Saint-Brieuc du monument de Jules Rochard	1900	141		article
