	article_id	article_auteur	article_titre	revue_annee	revue_numero	article_page
47	AHMC-02-289	Gries	Relation d'une recrudescence endémo-épidémique de fièvre jaune observée à la Martinique dans le cours des années 1895. 1896. 1897 et 1898.	1899	2	289
48	AHMC-02-322	Duvigneau	Morbidité et mortalité au Congo français pendant l'année 1897. Extrait du rapport	1899	2	322
49	AHMC-02-334	Spire	Notes médicales sur le Haut-Oubangui.	1899	2	334
50	AHMC-02-345	A. Kermorgant	Sanatoria et camps de dissémination de nos colonies	1899	2	345
51	AHMC-02-365	L.  Bréaudat	Sur la constitution chimique des ferments solubles oxydants.	1899	2	365
52	AHMC-02-378	Yersin	L'épidémie de peste à Nha-Trang de juin à octobre 1898.	1899	2	378
53	AHMC-02-390	Thoulon	Peste bubonique observée à Ping-Shiang (province de Kouang-Si (Chine), avril-mai-juin 1898). Extrait du rapport	1899	2	390
54	AHMC-02-399	Thiroux	Rapport sur la sérothérapie de la peste bubonique.	1899	2	399
55	AHMC-02-408	Jourdran	Note sur une araignée de Madagascar (Mena-vody des indigènes).	1899	2	408
56	AHMC-02-411	Marchoux	Diagnostic bactériologique de la fièvre typhoïde dans les pays chauds.	1899	2	411
57	AHMC-02-417		Morsures de serpents traitées par le sérum antivenimeux du Dr Calmette	1899	2	417
58	AHMC-02-423	Jourdran	Clinique d'Outre-Mer. Trois cas de calculs vésicaux chez des enfants malgaches opérés par la taille hypogastrique.	1899	2	423
59	AHMC-02-426		Instructions pour l'emploi du sérum antivénimeux	1899	2	426
60	AHMC-02-427		Instructions pour la récolte du venin des serpents destiné à vacciner les animaux qui fournissent le sérum antivenimeux	1899	2	427
61	AHMC-02-433	Simond	Fonctionnement de l'Institut Pasteur de Saïgon et des services vaccinaux de l'Indo-Chine, pendant l'année 1898.	1899	2	433
62	AHMC-02-471	Lasnet	Notes d'ethnologie et de médecine sur les Sakalaves du Nord-Ouest.	1899	2	471
63	AHMC-02-497		Instructions adressées à nos colonies de la côte occidentale d'Afrique, au sujet des mesures à prendre en cas de peste	1899	2	497
64	AHMC-02-509	Tédeschi	Note sur l'immunité vaccinale due à la variole et les causes fréquentes d'insuccès de la vaccination au Tonkin.	1899	2	509
65	AHMC-02-513	Thiroux	Rapport sur la lymphangite infectieuse de la Réunion.	1899	2	513
66	AHMC-02-521	Tédeschi	Hygiène professionnelle. Accidents provoqués par la manipulation de la laque au Tonkin.	1899	2	521
67	AHMC-02-529	Drevon	Hygiène professionnelle. Vanillisme.	1899	2	529
68	AHMC-02-533	Henri Vergoz	Variole et vaccination à la Côte d'Ivoire. juillet à décembre 1897. année 1898 et janvier 1899.	1899	2	533
69	AHMC-02-545	Pignet;Ferraud	Quelques mots sur le lait.	1899	2	545
70	AHMC-02-548	Couderc	Deux cas de Sphacèle étendu observés sur des noirs du Sénégal.	1899	2	548
71	AHMC-02-552	Pottier	Note sur l'huile de Camellia Drupifera.	1899	2	552
72	AHMC-02-555	Palmyr Cordier	Variétés. Médecins et médecine au Bengale.	1899	2	555
73	AHMC-02-583	Roubaud	Clinique d'Outre-Mer. Expulsion d'un foetus mort et momifié, à la suite de l'accouchement d'un enfant vivant et presque à terme.	1899	2	583
74	AHMC-03-5	Miquel	Contribution à la géographie médicale. Notes médicales sur l'expédition du Fouta-Djallon et sur le poste de Timbo (mars à décembre 1896).	1900	3	5
75	AHMC-03-17	Lasnet	Notes sur la pharmacopée des Sakalaves du Nord-Ouest.	1900	3	17
76	AHMC-03-43	Paul Gouzien	Note sur l'emploi de l'Ahouandémé (Cassia Occidentalis L.), et des injections hypodermiques massives de sérum artificiel dans le traitement de la fièvre bilieuse hémoglobinurique.	1900	3	43
77	AHMC-03-100	Mondon	Notes sur des abcès du foie observés au Tonkin.	1900	3	100
78	AHMC-03-114	Damiens	Du fond de l'oeil normal dans la race noire et de l'examen à l'ophtalmoscope (image renversée).	1900	3	114
79	AHMC-03-119	Marchoux	Fonctionnement du laboratoire de microbiologie de Saint-Louis (Sénégal) et note sur la dysenterie des pays chauds.	1900	3	119
80	AHMC-03-132	L.  Touin	Clinique d'Outre-Mer. Note sur un cas de calculs multiples de l'urètre chez l'homme.	1900	3	132
81	AHMC-03-134	Kieffer	Éléphantasis du scrotum pesant 80 kilos. Extrait du rapport	1900	3	134
82	AHMC-03-138		Instructions sommaires pour aider à la récolte des produits de nos colonies	1900	3	138
83	AHMC-03-145	Delay	Géographie médicale. Notes sur le Yun-Nan (Chine).	1900	3	145
84	AHMC-03-172	Bouffard	Géographie médicale. Notes médicales recueillies à Tchen-Tou, capitale de la province du Setchouen (Chine).	1900	3	172
85	AHMC-03-183	Andrieux	Épidémie de béribéri observée à Poulo-Condore en 1897-1898.	1900	3	183
86	AHMC-03-190	Sérez 	Poussée épidémique de paludisme observée en Annam. Extrait du rapport du mois de décembre 1898	1900	3	190
87	AHMC-03-193		Apercu sur les conditions hygiéniques de Tamatave	1900	3	193
88	AHMC-03-203	L  Bréaudat	Nouvelles recherches sur les fonctions diastasiques des plantes indigofères.	1900	3	203
89	AHMC-03-206	Albert Pairault	Notes sur la valeur alimentaire et industrielle des plantes comestibles féculentes cultivées aux Antilles.	1900	3	206
90	AHMC-03-216	Fr Turié	Sur le dosage de la silice et du fer dans les eaux potables.	1900	3	216
91	AHMC-03-218	Métin	La peste de Porto.	1900	3	218
92	AHMC-03-265	Paul Guérin	De la toxicité des physalies.	1900	3	265
93	AHMC-03-271	Rigollet	Observations d'hépatite suppurée recueillies à Kati (Soudan français) en 1898.	1900	3	271
94	AHMC-03-282	Talbot	Circoncision rituelle de la femme dans l'Afrique occidentale.	1900	3	282
95	AHMC-03-286	Le Dantec ;Boyé	Étude d'une labiée à racine tuberculeuse servant à l'alimentation des indigènes du Soudan et pouvant remplacer la pomme de terre aux colonies.	1900	3	286
96	AHMC-03-292	Blin	Variétés. Préjugés des Hindous sur la variole.	1900	3	292
97	AHMC-03-305	A. Kermorgant ;G Reynaud	Précautions hygiéniques à prendre pour les expéditions et les explorations aux pays chauds.	1900	3	305
98	AHMC-03-414	Paul Gouzien	Note complémentaire sur l'emploi de la sérothérapie artificielle dans le traitement de la fièvre bilieuse hémoglobinurique. — Relevés statistiques.	1900	3	414
99	AHMC-03-447		Situation sanitaire du Japon	1900	3	447
100	AHMC-03-451	Boyé. 	Les Colonnes contre Samory dans la région sud du Soudan français (septembre 1897 à octobre 1898).	1900	3	451
101	AHMC-03-492	Gaide	Notes médicales sur la Chine.	1900	3	492
102	AHMC-03-506	Yersin	Fonctionnement de l'Institut Pasteur de Nha-Trang (Annam).	1900	3	506
103	AHMC-03-520	Merveilleux. 	Réunion. Hôpitaux coloniaux. Morbidité et mortalité en 1899.	1900	3	520
104	AHMC-03-537		Mesures prises à Tamatave et à Antsirane (Madagascar), contre la peste qui a régné dans ces deux localités pendant l'année 1899	1900	3	537
105	AHMC-03-541	Mondon	Maladies épidémiques qui ont régné à la Côte d'Ivoire au cours de l'année 1899. Extrait du rapport	1900	3	541
106	AHMC-03-547	Touin	Mesures et procédés de désinfection imposés en Amérique aux provenances des Antilles.	1900	3	547
107	AHMC-03-562	Rencurel	Les sarimbavy. Perversion sexuelle observée en Émyrne.	1900	3	562
108	AHMC-03-569	Métin(traduction)	Rapport du capitaine Stevenson I.-M.-S. sur les vaccinations par les sérums d'Haffkin et de Yersin. Traduction de M	1900	3	569
109	AHMC-04-5	Angier	Le Cambodge. Géographie médicale.	1901	4	5
110	AHMC-04-60	J.-A  Chabaneix	Notes médicales sur l'Abyssinie.	1901	4	60
111	AHMC-04-77	Palmyr Cordier	Origines, évolution et décadence de la médecine indienne.	1901	4	77
112	AHMC-04-89	Primet	Nouvelle-Calédonie. Hôpitaux. Morbidité et mortalité en 1899. Extrait du rapport 	1901	4	89
113	AHMC-04-99	J.-C Baurac	De quelques maladies simulées en Cochinchine.	1901	4	99
114	AHMC-04-113	E Heckel	Contribution à l'étude des plantes médicinales et toxiques employées par les indigènes de la Côte d'Ivoire (Afrique occidentale).	1901	4	113
115	AHMC-04-121	Burdin	Notes médicales sur le contesté franco-brésilien. Extrait du rapport 	1901	4	121
116	AHMC-04-128	P.-L.-S  Simond 	Paludisme.	1901	4	128
117	AHMC-04-134	G  Blin	Un accouchement au Dahomey.	1901	4	134
118	AHMC-04-141		Institut Pasteur de Madagascar	1901	4	141
119	AHMC-04-142		Désinfection des puits par le permanganate de potasse	1901	4	142
120	AHMC-04-144		Impotence fonctionnelle observée sur les pêcheurs de thon aux Antilles	1901	4	144
121	AHMC-04-145		Conservation du vaccin	1901	4	145
122	AHMC-04-146		Variétés. Quelques us et coutumes des indigènes de la Côte d'Ivoire	1901	4	146
123	AHMC-04-157	Lafont	L'île d'Anjouan.	1901	4	157
124	AHMC-04-192	A.  Vallet	Notes médicales sur le poste de Dori, région du Liptako.	1901	4	192
125	AHMC-04-205	Ortholan	Quelques notes sur Ssé-Mao (Chine).	1901	4	205
126	AHMC-04-210	A. Kermorgant	Eaux thermales et minérales des colonies françaises(1).	1901	4	210
127	AHMC-04-248	Kieffer	Sénégal et Soudan. Hôpitaux. Morbidité et mortalité en 1899. Extrait du Rapport 	1901	4	248
128	AHMC-04-258	Primet	Rapport sommaire sur l'épidémie de peste qui a régné en Nouvelle-Calédonie du 23 décembre 1899 au 9 mars 1900.	1901	4	258
129	AHMC-04-267	Bloch	Sur un procédé de dosage volumétrique des phosphates alcalino-terreux dans le lait.	1901	4	267
130	AHMC-04-274	Miquel	Traitement de la lèpre par les injections sous-cutanées d'huile de Chaulmoogra.	1901	4	274
131	AHMC-04-284	Camail	Morbidité et mortalité des troupes aux colonies (Tonkin, Cochinchine, Madagascar, Sénégal, Guyane).	1901	4	284
132	AHMC-04-296	E Marchoux	Piroplasma canis (Lav.), chez les chiens du Sénégal.	1901	4	296
133	AHMC-04-298	Boyé ;Le Dantec	Kéloïde fibromatode du lobule de l'oreille dans la race nègre. 	1901	4	298
134	AHMC-04-304	Lemoine	Natalité et mortalité des îles et des archipels constituant les établissements français de l'Océanie pendant les années 1897, 1898 et 1899. Extrait du Rapport	1901	4	304
135	AHMC-04-305		Note sur la manière de tirer parti des sérums qui deviennent facilement troubles aux pays chauds	1901	4	305
136	AHMC-04-306	Bireaud	Clinique d'Outre-Mer. Observations recueillies à N'Djolé (Congo français).	1901	4	306
137	AHMC-04-310	Lhomme	Clinique d'Outre-Mer. Difformité du pied par hypertrophie d'origine congénitale du gros orteil et par production de tumeurs lipomateuses.	1901	4	310
138	AHMC-04-314	Bailly	Hyperostose des 2e et 3e métatarsiens gauches et orteils correspondants. Observations recueillies	1901	4	314
139	AHMC-04-323		Manière de conserver les moustiques à l'état vivant pour les expédier en Europe	1901	4	323
140	AHMC-04-325	A. Kermorgant	Épidémie de fièvre jaune du Sénégal(1), du 16 avril 1900 au 28 février 1901.	1901	4	325
141	AHMC-04-436	J  Auber	Résultats obtenus à La Réunion par l'emploi du sérum antipesteux de Yersin.	1901	4	436
142	AHMC-04-440	Bouffard ; Chabaneix	Quelques cas de fièvre paludéenne observée à Djibouti, chef-lieu de la côte des Somalis.	1901	4	440
143	AHMC-04-452	Bouffard ; Chabaneix	Pieds de Madura observés à Djibouti.	1901	4	452
144	AHMC-04-456	Clarac	Corps étrangers du rectum chez les condamnés à La Guyane.	1901	4	456
145	AHMC-04-459	Calmette	Recherches sur la vaccine expérimentale.	1901	4	459
146	AHMC-04-473	Huot. A	Géographie médicale. Considérations générales sur l'Oubangui et le Bahr-el-Ghazal.	1901	4	473
147	AHMC-04-502	Thiroux	Fonctionnement de l'Institut Pasteur de Tananarive en 1900.	1901	4	502
148	AHMC-04-513	Primet	La prophylaxie de la lèpre en Nouvelle-Calédonie.	1901	4	513
149	AHMC-04-541	Jourdran	La lèpre et les léproseries à Madagascar.	1901	4	541
150	AHMC-04-549	Le Ray	Contribution à l'étude de la fièvre bilieuse hémoglobinurique, observée aux pays chauds.	1901	4	549
151	AHMC-04-588	Mul	Note sur un monstre ectromélien observé à Saint-Louis (Sénégal).	1901	4	588
152	AHMC-04-590	Spire	Variétés. Fonctionnement du service de santé dans l'armée des Indes néerlandaises.	1901	4	590
153	AHMC-04-601		Mesures prophylactiques prises contre la fièvre jaune à Cuba sur l'ordre du major général Word	1901	4	601
154	AHMC-04-603		Règlement au sujet de la lèpre dans la Nouvelle-Galles du sud	1901	4	603
155	AHMC-04-608	Dom Sauton	La Léprose.	1901	4	608
156	AHMC-05-5	Clarac	La Guyane française. Notes de géographie médicale, d'ethnographie et de pathologie.	1902	5	5
157	AHMC-05-108	Raoul Dumas	Au sujet de quelques modifications de l'excrétion urinaire provoquées par l'accès paludéen.	1902	5	108
158	AHMC-05-116	Roques	Variole et vaccine dans la région de Loango (Congo français), de novembre 1893 à septembre 1899.	1902	5	116
159	AHMC-05-122	Bloch	Analyse de l'eau du puits de Lawpett.	1902	5	122
160	AHMC-05-126	Talbot	Notes sur une épidémie de rougeole observée sur des Malinkais et des Soussous à Ouossou (Guinée française).	1902	5	126
161	AHMC-05-137	Augier	Pratique de la police sanitaire maritime à l'arrivée.	1902	5	137
162	AHMC-05-150		Variétés. Fonctionnement du service de santé dans l'état indépendant du Congo	1902	5	150
163	AHMC-05-151		Les piaïeurs à la Guyane française	1902	5	151
164	AHMC-05-165	J. Decorse	Contribution à la géographie médicale. Notes sur l'Androy (sud de Madagascar).	1902	5	165
165	AHMC-05-179	Sautarel	Quelques notes médicales sur Ssé-Mao (Chine).	1902	5	179
166	AHMC-05-184		Instructions pour l'application de la méthode des tractions rythmées de la langue : 1° au traitement de la mort apparente ; 2° au signe automatique de la mort réelle. Le tracteur lingual mécanique	1902	5	184
167	AHMC-05-194	Rouffiandis	Le Ki-mo ou pian du Laos.	1902	5	194
168	AHMC-05-200	Brengues	Contribution à l'étude du paludisme en Indo-chine. Le paludisme à Hatien.	1902	5	200
169	AHMC-05-214	Gustave Reynaud	Stérilisation de l'eau par la solution bromée (procédé de Schumburg).	1902	5	214
170	AHMC-05-221	Boyé	Un cas d'hyperthermie post-mortem avec refroidissement cadavérique très lent dans un accès pernicieux.	1902	5	221
171	AHMC-05-223	Louis Le Clech ;Jean Vuillet.	Plantes médicinales et toxiques du Soudan français.	1902	5	223
172	AHMC-05-257	(H.-C.-A) Vergoz	De quelques affections qu'on observe fréquemment chez les indigènes de la Côte d'Ivoire.	1902	5	257
173	AHMC-05-262	L Touin	Note sur un cas de paludisme chez une hystéro-neurasthénique.	1902	5	262
174	AHMC-05-268	Blin	Cas de ptomaphagie observé chez un hindou atteint de folie religieuse.	1902	5	268
175	AHMC-05-277	A. Kermorgant	Maladies épidémiques et contagieuses qui ont régné dans les colonies françaises au cours de l'année 1900.	1902	5	277
176	AHMC-05-305	Morel	Existence de la mouche tsé-tsé dans la région du Chari.	1902	5	305
177	AHMC-05-306	Sautarel	Un cas de lèpre tuberculeuse.	1902	5	306
178	AHMC-05-312	Semple ;G Lamb	Le pouvoir neutralisant du sérum antivenimeux de Calmette et sa valeur dans le traitement des morsures de serpents.	1902	5	312
179	AHMC-05-353	Spire	Rapport médical de la mission Fourneau.	1902	5	353
180	AHMC-05-380	Mas	Rapport sur l'état sanitaire de Canton, du 30 octobre 1900 au 1er octobre 1901.	1902	5	380
181	AHMC-05-384	Rey	Rapport médical sur l'état sanitaire de la ville chinoise de Pakhoï (août 1900 à juillet 1901).	1902	5	384
182	AHMC-05-391	Lemoine	Quelques opérations palliatives applicables à l'éléphantiasis des Arabes pratiquées à Tahiti.	1902	5	391
183	AHMC-05-414	Henric	Notes d'ethnographie et d'anthropologie sur les Haoussas (Afrique centrale).	1902	5	414
184	AHMC-05-431	A. Kermorgant	Les serpents de mer et leur venin.	1902	5	431
185	AHMC-05-436	Mirville ; Rosé	Notes sur les pouzzolanes de la Martinique.	1902	5	436
186	AHMC-05-439	Noc	Rapport du laboratoire de bactériologie sur l'épidémie de peste de 1901 à Nouméa.	1902	5	439
187	AHMC-05-449	L. Gaide	Notice ethnograhique sur les principales races indigènes de la Chine méridionale (Yun-Nam en particulier) et du nord de l'Indo-Chine.	1902	5	449
188	AHMC-05-494	Audiau	Opération d'un éléphantiasis du scrotum.	1902	5	494
189	AHMC-05-497	Gustave Martin	Service de la vaccine au Cambodge.	1902	5	497
190	AHMC-05-501		Variétés. Moyens employés par les forçats pour se donner des maladies. (cahier de recettes trouvé sur l'un d'eux)	1902	5	501
191	AHMC-05-507	Bussière	L'école de médecine de Pondichéry.	1902	5	507
192	AHMC-05-510	Damiens	Une visite à l'hôpital de Lagos (côte occidentale d'Afrique).	1902	5	510
193	AHMC-05-533	Percheron	Géographie médicale. La Grande-Comore.	1902	5	533
194	AHMC-05-558	J.-J  Vassal	La sérothérapie de la peste bubonique. Épidémie du Port (Réunion), 1900-1901.	1902	5	558
195	AHMC-05-599	Pottier	Épuration de l'eau potable en campagne. Analyse.	1902	5	599
196	AHMC-05-605	E.  Guérin	Traitement de la malaria par les injections hypodermiques de liqueur de Fowler.	1902	5	605
197	AHMC-05-607	Boyé	Notes de pathologie exotique.	1902	5	607
198	AHMC-05-618	Mirville ;Rosé	Notes pour servir à l'étude des phénomènes volcaniques qui ont eu lieu à la Martinique en mai 1902. Recueillies	1902	5	618
199	AHMC-05-625		Quelques notes sur la catastrophe de Saint-Pierre	1902	5	625
200	AHMC-05-631	J.-A Bussière	Une mission de vaccine en Cochinchine (région est).	1902	5	631
201	AHMC-05-636	Bouffard.	Pieds de Madura observés à Djibouti.	1902	5	636
202	AHMC-05-652	M. G Lambert	Contribution à l'étude de la pharmacologie et de la physiologie du sarracenia purpurea.	1902	5	652
203	AHMC-05-662	E.  Métin	Recherches sur l'étiologie de la dysenterie des pays chauds.	1902	5	662
204	AHMC-05-670	Clarac	Clinique d'Outre-Mer. Observation d'abcès du foie.	1902	5	670
205	AHMC-05-673	Mondon	Plaies pénétrantes de l'abdomen observées à Conakry (Guinée Française).	1902	5	673
206	AHMC-05-676	Raoul Dumas	Observations d'abcès du foie recueillies à l'hôpital de Quang-Yen (Tonkin).	1902	5	676
207	AHMC-05-680	V. Brochard	Cas de lèpre anesthésique au début observé dans le haut Dahomey.	1902	5	680
208	AHMC-05-682	G.Blin	Rupture de la rate par traumatisme chez un paludéen.	1902	5	682
209	AHMC-05-683	Gentilhomme	Abcès de la rate ouvert dans l'intestin.	1902	5	683
210	AHMC-05-684		Un cas de polynévrite palustre	1902	5	684
211	AHMC-05-685		Amputation de l'avant-bras chez un diabétique	1902	5	685
212	AHMC-05-686	J.-A.  Bussière	Variétés. L'homme au cou de capelle, développement anormal d'un faisceau musculaire acromiomastoïdien rudimentaire, malformation congénitale rare, observée à Pondichéry (Indes orientales).	1902	5	686
213	AHMC-05-688		Une maternité à Tananarive	1902	5	688
214	AHMC-05-694	Neiret	Mission envoyée au Para par l'école de médecine tropicale de Liverpool, pour l'étude de la fièvre jaune. Analyse du rapport.	1902	5	694
215	AHMC-06-22		Instructions concernant les mesures à prendre contre les maladies endémiques, épidémiques et contagieuses. 	1903	6	22
216	AHMC-06-5	V.  Rouffiandis	Géographie médicale. Le Moyen-Laos.	1903	6	5
217	AHMC-06-40	Escande de Messières	L'alcoolisme en Nouvelle-Calédonie.	1903	6	40
218	AHMC-06-50	Hénaff	La tuberculose chez les indigènes de Cochinchine.	1903	6	50
219	AHMC-06-61	Angier	La tuberculose au Cambodge.	1903	6	61
220	AHMC-06-66	Merveilleux. 	Notes sur la tuberculose pulmonaire à La Réunion.	1903	6	66
221	AHMC-06-74	Mirville ;Rosé	Notes complémentaires sur les phénomènes volcaniques qui ont eu lieu à la Martinique en juin et juillet 1902.	1903	6	74
222	AHMC-06-84	A. Kermorgant	Sur l'éruption volcanique de la Montagne-Pelée, à la Martinique, des 30-31 août 1902.	1903	6	84
223	AHMC-06-92	Cassagnou	Guadeloupe. — Démographie.	1903	6	92
224	AHMC-06-98	Petit	De l'emploi du paddy (riz non décortiqué) dans le béribéri.	1903	6	98
225	AHMC-06-100	Bonneau	Madagascar. Statistique médicale du personnel employé aux travaux du chemin de fer (année 1901).	1903	6	100
226	AHMC-06-115	Jourdran	Trois cas de gynécomastie observés chez des Malgaches à l'hôpital indigène de Tananarive.	1903	6	115
227	AHMC-06-118	Le Moine	Fréquence des abcès à Tahiti. Phlegmons dans les gaines musculaires. — Psoïtis. Diagnostic et traitement.	1903	6	118
228	AHMC-06-128	Salanoue-Ifin	La vaccine au Soudan.	1903	6	128
229	AHMC-06-139	Salanoue-Ifin	La vaccine au Soudan.	1903	6	139
230	AHMC-06-143	J.-A  Bussière	Le choléra asiatique dans les établissements français de l'Inde en 1900, causes de ses manifestations endémo-épidémiques, mesures prises par le service de santé de la colonie.	1903	6	143
231	AHMC-06-153	A. Kermorgant. 	Morbidité et mortalité des transportés et des relégués en Guyane et en Nouvelle-Calédonie.  	1903	6	153
232	AHMC-06-159	M. le docteur A. Kermorgant. Historique sommaire de la transportation. A. Transportation à la Guyane. B	Morbidité et mortalité des transportés et des relégués en Guyane et en Nouvelle-Calédonie.	1903	6	159
233	AHMC-06-175	Pignet	Analyses de paddys et de fourrages du Tonkin.	1903	6	175
234	AHMC-06-176	Angier	Variétés. La lèpre au Cambodge. Croyances et traditions.	1903	6	176
235	AHMC-06-181		Variétés. École de médecine et hôpital indigène de Tananarive (Madagascar)	1903	6	181
236	AHMC-06-184	Ronald Ross	Fièvre bilieuse hématurique. Traitement de la malaria. (Extrait de malarial fever, its cause, prevention and treatment, by Ronald Ross.). Traduction du Dr Bussière	1903	6	184
237	AHMC-06-189	Raoul Dumas	Variétés. La section des maladies tropicales au congrès de l'association médicale anglaise. Compte rendu analytique	1903	6	189
