                                                                                                                                                                                                                                                                                         article_titre  revue_annee
                                                                                                                                                                                                                 Mesures et procédés de désinfection imposés en Amérique aux provenances des Antilles.         1900
                                                                                                                                                                                                                                                Les sarimbavy. Perversion sexuelle observée en Émyrne.         1900
                                                                                                                                                                                   Rapport du capitaine Stevenson I.-M.-S. sur les vaccinations par les sérums d'Haffkin et de Yersin. Traduction de M         1900
                                                                                                                                                                                                                                                                     Le Cambodge. Géographie médicale.         1901
                                                                                                                                                                                                                                                                      Notes médicales sur l'Abyssinie.         1901
                                                                                                                                                                                                                                             Origines, évolution et décadence de la médecine indienne.         1901
                                                                                                                                                                                                                     Nouvelle-Calédonie. Hôpitaux. Morbidité et mortalité en 1899. Extrait du rapport          1901
                                                                                                                                                                                                                                                         De quelques maladies simulées en Cochinchine.         1901
                                                                                                                                                                     Contribution à l'étude des plantes médicinales et toxiques employées par les indigènes de la Côte d'Ivoire (Afrique occidentale).         1901
                                                                                                                                                                                                                                 Notes médicales sur le contesté franco-brésilien. Extrait du rapport          1901
                                                                                                                                                                                                                                                                                            Paludisme.         1901
                                                                                                                                                                                                                                                                           Un accouchement au Dahomey.         1901
                                                                                                                                                                                                                                                                        Institut Pasteur de Madagascar         1901
                                                                                                                                                                                                                                                 Désinfection des puits par le permanganate de potasse         1901
                                                                                                                                                                                                                                Impotence fonctionnelle observée sur les pêcheurs de thon aux Antilles         1901
                                                                                                                                                                                                                                                                                Conservation du vaccin         1901
                                                                                                                                                                                                                                   Variétés. Quelques us et coutumes des indigènes de la Côte d'Ivoire         1901
                                                                                                                                                                                                                                                                                      L'île d'Anjouan.         1901
                                                                                                                                                                                                                                              Notes médicales sur le poste de Dori, région du Liptako.         1901
                                                                                                                                                                                                                                                                   Quelques notes sur Ssé-Mao (Chine).         1901
                                                                                                                                                                                                                                               Eaux thermales et minérales des colonies françaises(1).         1901
                                                                                                                                                                                                                      Sénégal et Soudan. Hôpitaux. Morbidité et mortalité en 1899. Extrait du Rapport          1901
                                                                                                                                                                                        Rapport sommaire sur l'épidémie de peste qui a régné en Nouvelle-Calédonie du 23 décembre 1899 au 9 mars 1900.         1901
                                                                                                                                                                                                                   Sur un procédé de dosage volumétrique des phosphates alcalino-terreux dans le lait.         1901
                                                                                                                                                                                                                       Traitement de la lèpre par les injections sous-cutanées d'huile de Chaulmoogra.         1901
                                                                                                                                                                                                   Morbidité et mortalité des troupes aux colonies (Tonkin, Cochinchine, Madagascar, Sénégal, Guyane).         1901
                                                                                                                                                                                                                                                  Piroplasma canis (Lav.), chez les chiens du Sénégal.         1901
                                                                                                                                                                                                                                       Kéloïde fibromatode du lobule de l'oreille dans la race nègre.          1901
                                                                                                                                        Natalité et mortalité des îles et des archipels constituant les établissements français de l'Océanie pendant les années 1897, 1898 et 1899. Extrait du Rapport         1901
                                                                                                                                                                                                      Note sur la manière de tirer parti des sérums qui deviennent facilement troubles aux pays chauds         1901
                                                                                                                                                                                                                            Clinique d'Outre-Mer. Observations recueillies à N'Djolé (Congo français).         1901
                                                                                                                                                             Clinique d'Outre-Mer. Difformité du pied par hypertrophie d'origine congénitale du gros orteil et par production de tumeurs lipomateuses.         1901
                                                                                                                                                                                                     Hyperostose des 2e et 3e métatarsiens gauches et orteils correspondants. Observations recueillies         1901
                                                                                                                                                                                                                       Manière de conserver les moustiques à l'état vivant pour les expédier en Europe         1901
                                                                                                                                                                                                                          Épidémie de fièvre jaune du Sénégal(1), du 16 avril 1900 au 28 février 1901.         1901
                                                                                                                                                                                                                           Résultats obtenus à La Réunion par l'emploi du sérum antipesteux de Yersin.         1901
                                                                                                                                                                                                              Quelques cas de fièvre paludéenne observée à Djibouti, chef-lieu de la côte des Somalis.         1901
                                                                                                                                                                                                                                                                  Pieds de Madura observés à Djibouti.         1901
                                                                                                                                                                                                                                             Corps étrangers du rectum chez les condamnés à La Guyane.         1901
                                                                                                                                                                                                                                                              Recherches sur la vaccine expérimentale.         1901
                                                                                                                                                                                                                    Géographie médicale. Considérations générales sur l'Oubangui et le Bahr-el-Ghazal.         1901
                                                                                                                                                                                                                                           Fonctionnement de l'Institut Pasteur de Tananarive en 1900.         1901
                                                                                                                                                                                                                                                     La prophylaxie de la lèpre en Nouvelle-Calédonie.         1901
                                                                                                                                                                                                                                                             La lèpre et les léproseries à Madagascar.         1901
                                                                                                                                                                                                              Contribution à l'étude de la fièvre bilieuse hémoglobinurique, observée aux pays chauds.         1901
                                                                                                                                                                                                                                      Note sur un monstre ectromélien observé à Saint-Louis (Sénégal).         1901
                                                                                                                                                                                                                    Variétés. Fonctionnement du service de santé dans l'armée des Indes néerlandaises.         1901
                                                                                                                                                                                                        Mesures prophylactiques prises contre la fièvre jaune à Cuba sur l'ordre du major général Word         1901
                                                                                                                                                                                                                                         Règlement au sujet de la lèpre dans la Nouvelle-Galles du sud         1901
                                                                                                                                                                                                                                                                                           La Léprose.         1901
                                                                                                                                                                                                                   La Guyane française. Notes de géographie médicale, d'ethnographie et de pathologie.         1902
                                                                                                                                                                                                           Au sujet de quelques modifications de l'excrétion urinaire provoquées par l'accès paludéen.         1902
                                                                                                                                                                                                      Variole et vaccine dans la région de Loango (Congo français), de novembre 1893 à septembre 1899.         1902
                                                                                                                                                                                                                                                                 Analyse de l'eau du puits de Lawpett.         1902
                                                                                                                                                                                           Notes sur une épidémie de rougeole observée sur des Malinkais et des Soussous à Ouossou (Guinée française).         1902
                                                                                                                                                                                                                                                 Pratique de la police sanitaire maritime à l'arrivée.         1902
                                                                                                                                                                                                                         Variétés. Fonctionnement du service de santé dans l'état indépendant du Congo         1902
                                                                                                                                                                                                                                                                    Les piaïeurs à la Guyane française         1902
                                                                                                                                                                                                                        Contribution à la géographie médicale. Notes sur l'Androy (sud de Madagascar).         1902
                                                                                                                                                                                                                                                         Quelques notes médicales sur Ssé-Mao (Chine).         1902
                                                                                                  Instructions pour l'application de la méthode des tractions rythmées de la langue : 1° au traitement de la mort apparente ; 2° au signe automatique de la mort réelle. Le tracteur lingual mécanique         1902
                                                                                                                                                                                                                                                                             Le Ki-mo ou pian du Laos.         1902
                                                                                                                                                                                                                             Contribution à l'étude du paludisme en Indo-chine. Le paludisme à Hatien.         1902
                                                                                                                                                                                                                                 Stérilisation de l'eau par la solution bromée (procédé de Schumburg).         1902
                                                                                                                                                                                                Un cas d'hyperthermie post-mortem avec refroidissement cadavérique très lent dans un accès pernicieux.         1902
                                                                                                                                                                                                                                                   Plantes médicinales et toxiques du Soudan français.         1902
                                                                                                                                                                                                              De quelques affections qu'on observe fréquemment chez les indigènes de la Côte d'Ivoire.         1902
                                                                                                                                                                                                                                         Note sur un cas de paludisme chez une hystéro-neurasthénique.         1902
                                                                                                                                                                                                                                Cas de ptomaphagie observé chez un hindou atteint de folie religieuse.         1902
                                                                                                                                                                                             Maladies épidémiques et contagieuses qui ont régné dans les colonies françaises au cours de l'année 1900.         1902
                                                                                                                                                                                                                                               Existence de la mouche tsé-tsé dans la région du Chari.         1902
                                                                                                                                                                                                                                                                         Un cas de lèpre tuberculeuse.         1902
                                                                                                                                                                                   Le pouvoir neutralisant du sérum antivenimeux de Calmette et sa valeur dans le traitement des morsures de serpents.         1902
                                                                                                                                                                                                                                                               Rapport médical de la mission Fourneau.         1902
                                                                                                                                                                                                                       Rapport sur l'état sanitaire de Canton, du 30 octobre 1900 au 1er octobre 1901.         1902
                                                                                                                                                                                                       Rapport médical sur l'état sanitaire de la ville chinoise de Pakhoï (août 1900 à juillet 1901).         1902
                                                                                                                                                                                                         Quelques opérations palliatives applicables à l'éléphantiasis des Arabes pratiquées à Tahiti.         1902
                                                                                                                                                                                                                          Notes d'ethnographie et d'anthropologie sur les Haoussas (Afrique centrale).         1902
                                                                                                                                                                                                                                                                    Les serpents de mer et leur venin.         1902
                                                                                                                                                                                                                                                           Notes sur les pouzzolanes de la Martinique.         1902
                                                                                                                                                                                                                     Rapport du laboratoire de bactériologie sur l'épidémie de peste de 1901 à Nouméa.         1902
                                                                                                                                                                 Notice ethnograhique sur les principales races indigènes de la Chine méridionale (Yun-Nam en particulier) et du nord de l'Indo-Chine.         1902
                                                                                                                                                                                                                                                              Opération d'un éléphantiasis du scrotum.         1902
                                                                                                                                                                                                                                                                    Service de la vaccine au Cambodge.         1902
                                                                                                                                                                                     Variétés. Moyens employés par les forçats pour se donner des maladies. (cahier de recettes trouvé sur l'un d'eux)         1902
                                                                                                                                                                                                                                                                    L'école de médecine de Pondichéry.         1902
                                                                                                                                                                                                                                         Une visite à l'hôpital de Lagos (côte occidentale d'Afrique).         1902
                                                                                                                                                                                                                                                                Géographie médicale. La Grande-Comore.         1902
                                                                                                                                                                                                                         La sérothérapie de la peste bubonique. Épidémie du Port (Réunion), 1900-1901.         1902
                                                                                                                                                                                                                                                      Épuration de l'eau potable en campagne. Analyse.         1902
                                                                                                                                                                                                                       Traitement de la malaria par les injections hypodermiques de liqueur de Fowler.         1902
                                                                                                                                                                                                                                                                         Notes de pathologie exotique.         1902
                                                                                                                                                                                       Notes pour servir à l'étude des phénomènes volcaniques qui ont eu lieu à la Martinique en mai 1902. Recueillies         1902
                                                                                                                                                                                                                                                     Quelques notes sur la catastrophe de Saint-Pierre         1902
                                                                                                                                                                                                                                                   Une mission de vaccine en Cochinchine (région est).         1902
                                                                                                                                                                                                                                                                  Pieds de Madura observés à Djibouti.         1902
                                                                                                                                                                                                               Contribution à l'étude de la pharmacologie et de la physiologie du sarracenia purpurea.         1902
                                                                                                                                                                                                                                          Recherches sur l'étiologie de la dysenterie des pays chauds.         1902
                                                                                                                                                                                                                                                    Clinique d'Outre-Mer. Observation d'abcès du foie.         1902
                                                                                                                                                                                                                               Plaies pénétrantes de l'abdomen observées à Conakry (Guinée Française).         1902
                                                                                                                                                                                                                           Observations d'abcès du foie recueillies à l'hôpital de Quang-Yen (Tonkin).         1902
                                                                                                                                                                                                                                      Cas de lèpre anesthésique au début observé dans le haut Dahomey.         1902
                                                                                                                                                                                                                                                  Rupture de la rate par traumatisme chez un paludéen.         1902
                                                                                                                                                                                                                                                              Abcès de la rate ouvert dans l'intestin.         1902
                                                                                                                                                                                                                                                                        Un cas de polynévrite palustre         1902
                                                                                                                                                                                                                                                         Amputation de l'avant-bras chez un diabétique         1902
                                                                                                          Variétés. L'homme au cou de capelle, développement anormal d'un faisceau musculaire acromiomastoïdien rudimentaire, malformation congénitale rare, observée à Pondichéry (Indes orientales).         1902
                                                                                                                                                                                                                                                                            Une maternité à Tananarive         1902
                                                                                                                                                                          Mission envoyée au Para par l'école de médecine tropicale de Liverpool, pour l'étude de la fièvre jaune. Analyse du rapport.         1902
                                                                                                                                                                                           Instructions concernant les mesures à prendre contre les maladies endémiques, épidémiques et contagieuses.          1903
                                                                                                                                                                                                                                                                   Géographie médicale. Le Moyen-Laos.         1903
                                                                                                                                                                                                                                                                   L'alcoolisme en Nouvelle-Calédonie.         1903
                                                                                                                                                                                                                                                     La tuberculose chez les indigènes de Cochinchine.         1903
                                                                                                                                                                                                                                                                           La tuberculose au Cambodge.         1903
                                                                                                                                                                                                                                                     Notes sur la tuberculose pulmonaire à La Réunion.         1903
                                                                                                                                                                                         Notes complémentaires sur les phénomènes volcaniques qui ont eu lieu à la Martinique en juin et juillet 1902.         1903
                                                                                                                                                                                                                 Sur l'éruption volcanique de la Montagne-Pelée, à la Martinique, des 30-31 août 1902.         1903
                                                                                                                                                                                                                                                                            Guadeloupe. — Démographie.         1903
                                                                                                                                                                                                                                           De l'emploi du paddy (riz non décortiqué) dans le béribéri.         1903
                                                                                                                                                                                                      Madagascar. Statistique médicale du personnel employé aux travaux du chemin de fer (année 1901).         1903
                                                                                                                                                                                                             Trois cas de gynécomastie observés chez des Malgaches à l'hôpital indigène de Tananarive.         1903
                                                                                                                                                                                             Fréquence des abcès à Tahiti. Phlegmons dans les gaines musculaires. — Psoïtis. Diagnostic et traitement.         1903
                                                                                                                                                                                                                                                                                 La vaccine au Soudan.         1903
                                                                                                                                                                                                                                                                                 La vaccine au Soudan.         1903
                                                                                                                       Le choléra asiatique dans les établissements français de l'Inde en 1900, causes de ses manifestations endémo-épidémiques, mesures prises par le service de santé de la colonie.         1903
                                                                                                                                                                                                          Morbidité et mortalité des transportés et des relégués en Guyane et en Nouvelle-Calédonie.           1903
                                                                                                                                                                                                            Morbidité et mortalité des transportés et des relégués en Guyane et en Nouvelle-Calédonie.         1903
                                                                                                                                                                                                                                                         Analyses de paddys et de fourrages du Tonkin.         1903
                                                                                                                                                                                                                                              Variétés. La lèpre au Cambodge. Croyances et traditions.         1903
                                                                                                                                                                                                                            Variétés. École de médecine et hôpital indigène de Tananarive (Madagascar)         1903
                                                                                                                                   Fièvre bilieuse hématurique. Traitement de la malaria. (Extrait de malarial fever, its cause, prevention and treatment, by Ronald Ross.). Traduction du Dr Bussière         1903
                                                                                                                                                                                   Variétés. La section des maladies tropicales au congrès de l'association médicale anglaise. Compte rendu analytique         1903
                                                                                                                                                                                                                                                               Géographie médicale. Île de La Réunion.         1903
                                                                                                                                                                                                                                                               Notes de géographie médicale. Le Chari.         1903
                                                                                                                                                                                                               Épidémie de diphtérie survenue à Tananarive de juin à décembre 1901. Extrait du Rapport         1903
                                                                                                                                                                                                                                                  Les épidémies pesteuses du foyer chinois de Pak-Hoi.         1903
                                                                                                                                                                                                                                                      Cas de fièvre paludéenne traités par l'arrhénal.         1903
                                                                                                                                                                                                                                                                     La tuberculose au Congo français.         1903
                                                                                                                                                                                      Quelques notes sur la fièvre typhoïde qui sévit chaque année dans la caserne d'infanterie en Nouvelle-Calédonie.         1903
                                                                                                                                                                                                            Un cas de chylurie endémique pure, d'emblée, sans hématurie (filariose), observé à Tahiti.         1903
                                                                                                                                                                                                                                                              La fièvre jaune à Grand-Bassam, en 1902.         1903
                                                                                                                                                                                                                    L'empoisonnement par le "datura stramonium" chez les condamnés aux travaux forcés.         1903
                                                                                                                                                                                                   Morbidité et mortalité des troupes du corps d'occupation de Madagascar en 1901 suivant les régions.         1903
                                                                                                                                                                                                         Vaccinations et revaccinations pratiquées en 1901 dans les établissements français de l'Inde.         1903
                                                                                                                                                                                                                                      Variétés. Fréquence des affections du foie en Nouvelle-Calédonie         1903
                                                                                                                                                                                                                                                                      Théories chinoises sur la peste.         1903
                                                                                                                                                                                                                                                                  Composition du fruit de l'avocatier.         1903
                                                                                                                                                                                                                                                      Analyse d’un savon chinois provenant de Shanghai         1903
                                                                                                                                                                                                                                                 Géographie médicale. Région nord-ouest de Madagascar.         1903
                                                                                                                                                                                                                                                              Notes sur les abcès du foie au Cambodge.         1903
                                                                                                                                                                                                                                Notes sur une épidémie de fièvre jaune qui a régné à Orizaba (Mexique)         1903
                                                                                                                                                                                                                                     Aperçu sur les maladies vénériennes dans les colonies françaises.         1903
                                                                                                                                                                                                                                              Alcoolisme et tuberculose chez les indigènes du Dahomey.         1903
                                                                                                                                                                                                                                                     Note sur les épizooties des bovins en Indo-Chine.         1903
                                                                                                                                                                                                                                                                    Maternité de Cholon (Cochinchine).         1903
                                                                                                                                                                                                      Fonctionnement du laboratoire de bactériologie de Nouméa (Nouvelle-Calédonie), années 1901-1902.         1903
                                                                                                                                                                                                                                            Variole et vaccine à Anjouan pendant les années 1901-1902.         1903
                                                                                                                                                                                                                                               Nouvelle méthode rapide d'extirpation du ver de Guinée.         1903
                                                                                                                                                                         Clinique d'Outre-Mer. Abcès primitif du poumon pris pour un abcès du foie. (opération. — hémoptysie foudroyante. — autopsie.)         1903
                                                                                                                                                                                                                                             Ablation d'un kyste de l'ovaire gauche chez une Annamite.         1903
                                                                                                                                                                                                                       Variétés. La pratique médico-légale dans les établissements français de l'Inde.         1903
                                                                                                                                                                    Variétés. Sur la résistance des Malgaches aux brûlures électriques et particulièrement à l'érythème provenant des rayons Roentgen.         1903
                                                                                                                                                                                                                                           Géographie médicale. Les îles Marquises et les Marquisiens.         1903
                                                                                                                                           Note sur l'absorption de l'antitoxine tétanique par les plaies ; action immunisante du sérum antitétanique sec employé au pansement des plaies tétanigènes.         1903
                                                                                                                                                                                               Lésions ainhiques dans un cas de lèpre authentique (présence du bacille de Hansen dans le mucus nasal).         1903
                                                                                                                                                                                                                               Contribution à l'étude de la contagion et de la pathogénie de la lèpre.         1903
                                                                                                                                                                                              Considérations sur les faits urologiques observés pendant l'épidémie de fièvre jaune de Cayenne en 1902.         1903
                                                                                                                                                                                                                                         La tuberculose dans les établissements français de l'Océanie.         1903
