                                                                                                                                                                                                                                                                                                                                                                                                                  article_titre  revue_annee
                                                                                                                                                                                                                                                                                                               Contribution au traitement de la syphilis par les injections intra-musculaires d'huile grise, par le Dr Touren,          1898
                                                                                                                                                                                                                                                                                                                                                                              Variétés. / Médecins de colonisation de l'Algérie         1898
                                                                                                                                                                                                                                                                                   Rapport médical sur les colonness du Dakol et la mission du Mossi (Soudan Français), du 25 février 1896 au 16 avril 1897, par le Dr Henric,          1898
                                                                                                                                                                                                                                                                                                      Mémoire sur les lésions d'origine traumatique et d'origine tuberculeuse qui intéressent le rachis, par le Dr C. Auffret,          1898
                                                                                                                                                                                                                                                                                                                      Service de santé du 11e régiment d'infanterie de marine stationné en Indo-Chine (1896), par le Dr Vinas,          1898
                                                                                                                                                                                                                                                         Variétés. La mortalité des pêcheurs d'Islande. [Dr L. Chastang.]. / Mesures à prendre pour éviter à Madagascar la contagion par les boutres. Peste bubonique de l'Inde         1898
                                                                                                                                                                                             Variétés. Mesures à prendre pour éviter à Madagascar la contagion par les boutres. Peste bubonique de l'Inde. [Dr Duville.]. / Statistique médicale de la marine Allemande, du 1er avril 1893. au 31 mars 1895, par le Dr Globig,          1898
                                                                                                                                                                                                                                                                                                                  Variétés. Statistique médicale de la marine Allemande, du 1er avril 1893. au 31 mars 1895, par le Dr Globig,          1898
                                                                                                                                                                                                                                                                                                                                                       Climats en général. Climats chauds en particulier, par le Dr Le Dantec,          1898
                                                                                                                                                                                                                                                                                                                                                                         Études d'hygiène navale, par le Dr Danguy des Desert,          1898
                                                                                                                                                                                                                                                                                                                                                  Quelques conseils d'hygiène pour le voyageur à Madagascar, par le Dr Robert,          1898
                                                                                                                                                                       Variétés. Un nouveau journal. Archiv für Schiffs und Tropen Hygiene unter besonderer Berücksichtigung der Pathologie und Therapie, publié par le Dr Mense, Cassel, 1897. - Archives d'hygiène tropicale de navale. [Dr C. Mense.]. / Les Rayons roentgen         1898
                                                                                                                                                                                                                                                                                                                                                                 Colonne expéditionnaire dans la Haut-Dahomey, par le Dr Bartet         1898
                                                                                                                                                                                                                                                                                                                                                                                         Chaussure du fantassin. Par le Dr Prat         1898
                                                                                                                                                                                                                                                                                                                                                               Colonne expéditionnaire dans le Haut-Dahomey, par le Dr Bartet,          1898
                                                                                                                                                                                                                                                                                                                                           Secours aux blessés. Salles opératoires. - Moyens de transport, par le Dr C. Auffret         1898
                                                                                                                                                                                                                                                                                                                                       Secours aux blessés. / Salles opératoires. - Moyens de transport, par le Dr C. Auffret,          1898
                                                                                                                                                                                                                                                                                                                                         Secours aux blessés. Salles opératoires. - Moyens de transport, par le Dr C. Auffret,          1898
                                                                                                                                                                                                                                                                                                                                                                                 Désinfection et antisepsie, par le Dr Salanoue         1898
                                                                                                                                                                                                                                                                                            Deux cas de luxation sus-acromiale de l'épaule, traités par la suture osseuse à l'hôpital de la marine de Lorient, par le Dr Cairon         1898
                                                                                                                                                                                                                                                                              Variétés. L'état des médecins à bord des navires. Il y a deux siècles. [Dr Gros.]. / Note sur l'extension de la tuberculose pulmonaire en Islande         1898
                                                                                                                                                                                                                                                   Variétés. Note sur l'extension de la tuberculose pulmonaire en Islande. [Dr Chastang.]. / La vie moyenne dans les divers pays d'Europe. (Bulletin général de thérapeutique.)         1898
                                                                                                                                                                                                                                                                                                                                                   Deux cas frustes de myxoedème spontané de l'adulte, par le Dr P.-A. Boudou,          1898
                                                                                                                                                                                                                                                                                                                                                           Essai de détatouage par un procédé nouveau, par le Dr Félix Brunet,          1898
                                                                                                                                                                                                                          La pression osmotique du sang humain dans ses rapports avec le volume des éléments figurés, par le Dr Eijkmann. (Journal de médecine des Indes hollandaises.). Traduit du hollandais par le Dr Gros,          1898
                                                                                                                                                                                                                                                                                                                                                       Note sur les coffres à médicaments et à pansements, par M. le Dr Rouvier         1898
                                                                                                                                                                                                                                                                                                                  Nos pêcheurs d'Islande (hygiène et pathologie professionnelles, assistance médicale), par le Dr L. Chastang,          1898
                                                                                                                                                                                                                                                                                                                    Nos pêcheurs d'Islande (hygiène et pathologie professionnelles, assistance médicale), par le Dr L. Chastang         1898
                                                                                                                                                                                                                                                                          Variétés. Un hôpital flottant à New-York. / De l'habillement et de l'équipement dans le cas de débarquement, sous les tropiques, par le Dr Freymadl,          1898
                                                                                                                                                                                                                                                                                                            Variétés. De l'habillement et de l'équipement dans le cas de débarquement, sous les tropiques, par le Dr Freymadl,          1898
                                                                                                                                                                                                                                                                                                                                       Secours aux blessés maritimes. Mobilier médical de bord en métal, par le Dr C. Auffret,          1898
                                                                                                                                                                                                                                                                                                                                         Secours aux blessés maritimes. Mobilier médical de bord en métal, par le Dr C. Auffret         1898
                                                                                                                                                                                                                                                                                                                                      Nouveau procédé d'analyse du bronze blanc et du métal antifriction, par MM. P. Trouchet,          1898
                                                                                                                                                                                                                                                                                                                                                                                   La lèpre en Nouvelle-Calédonie, par A. Auché         1899
                                                                                                                                                                                                                                                                                                                                     La tuberculose dans la marine (statistique -mesures prophylactiques). Par le Dr L. Vincent         1899
                                                                                                                                                                                                                                                                                                                                                                             Sur le traitement du Craw-Craw. Par le Dr J. Emily         1899
                                                                                                                                                                                                                                                                                                                                                                                  La lèpre en Nouvelle-Calédonie. Par A. Auché,         1899
                                                                                                                                                                                                                                                                                                Phagédénisme des pays chauds, son identité avec la pourriture d'hôpital, pathogénie, symptômes, traitement. Par le Dr Le Dantec         1899
                                                                                                                                                                                                                                                                                                                                                                                      Les blessés de Manille. Par le Dr Brémaud         1899
                                                                                                                                                                                                                                       Rôle de l'insuffisance en matières grasses de la ration alimentaire dans l'étiologie du béribéri. / Hygiène préventive et thérapeutique basées sur cette étiologie, par le Dr L. Laurent         1899
                                                                                                                                                                                                                                         Rôle de l'insuffisance en matières grasses de la ration alimentaire dans l'étiologie du béribéri. Hygiène préventive et thérapeutique basées sur cette étiologie, par le Dr L. Laurent         1899
                                                                                                                                                                                                                                                                                                  Syndrôme typho-malarien. / Communication faite dans la conférence médicale du mois de Novembre 1897. Par le Dr Joseph Alvaro,         1899
                                                                                                                                                                                                                                                                                                                                                   Rapport sur l'état sanitaire du poste de Lao-Kay (Tonkin), par le Dr Fruitet         1899
                                                                                                                                                                                                                                                                                                                                                   De l'usage externe de la solution de chlorure de chaux, par le Dr Paul Petit         1899
                                                                                                                                                                                                                                                                                                                             Épidémie d'oreillons observée sur le vaisseau-école la couronne en 1896, par le Dr Lesueur-Florent         1899
                                                                                                                                                                                                                                                                                                                                              Ictère grave. Traité par les injections de sérum artificiel. Par le Dr A. Valence         1899
                                                                                                                                                                                                                                                                                                                                                      Note relative à une tente adaptée au Hamac-Gouttière, par le Dr Guézennec         1899
                                                                                                                                                                                                                                                                                                                                                                                   Éloge d'Amédée Lefèvre, par le Dr Le Méhauté         1899
                                                                                                                                                                                                                                                                                                                                                 Note sur l'étiologie et l'hygiène préventive du béribéri, par le Dr P. Brémaud         1899
                                                                                                                                                                                                                                                                                                                                                    Le service de santé dans l'Inde (Indian medical service), par le Dr H. Gros         1899
                                                                                                                                                                                                                                                                                                                                                                                 Variétés. / Le bleu d'éthyle en ophthalmologie         1899
                                                                                                                                                                                                                                                                                                                                                                        Variétés. Hôpital de Ponta-Delgada (San-Miguel, Acores)         1899
                                                                                                                                                                                                                                                                                                                          Rapport sur l'épidémie de fièvre typhoïde de Cherbourg (Novembre 1898-Février 1899), par le Dr Nollet         1899
                                                                                                                                                                                                                                                                             Étude sur le matériel servant au transport et au couchage des malades et blessés à bord des bâtiments de la flotte, par le Dr du Bois Saint-Sévrin         1899
                                                                                                                                                                                                                                                                                                     Le procédé de Moreschi pour la cure des ulcères variqueux de la jambe, par le Dr Ugo Belelli, traduit par le Dr Lassabatie         1899
                                                                                                                                                                                                                                                                                                                                         Le tokelau dans les possessions françaises du pacifique oriental, par le Dr Tribondeau         1899
                                                                                                                                                                                                                                                                                   Rapport annuel du médecin en chef de la marine des États-Unis. (Army and Navy, Register 15th october 1898.). Traduction. Par le Dr Galliot,          1899
                                                                                                                                                                                                                                                                                                                                                                 Notes d'hygiène sur le cuirassé le Gaulois, par le Dr Onimus,          1899
                                                                                                                                                                                                                                                                                                                                                                           Notes sur les Nouvelles-Hébrides, par le Dr Bernal,          1899
                                                                                                                                                                                                                                                                                                                                                Note sur l'épidémie de béribéri de 1898 à Poulo-Condore, par le Dr L. Laurent,          1899
                                                                                                                                                                                                                                                                                                  Variétés. Rapport annuel sur le service de santé de la marine néerlandaise pour l'année 1898, par L. P. Gijsberti Hodenpijl,          1899
                                                                                                                                                                                                                                                                                                                               Rapport du docteur H. Lorans sur sa mission dans l'Inde, traduit de l'anglais. Par le Dr Duval,          1899
                                                                                                                                                                                                                                                                                                                                 Du traitement de la contusion et de l'entorse du genou avec épanchement, par le Dr Machenaud,          1899
                                                                                                                                                                                                                                                                                                                                                                        Procédé de M. le médecin-major de 1re classe Isambert,          1899
                                                                                                                                                                                                                                                                                                                                                                          Variétés. Report of the Surgeon general, U. S. Navy,          1899
                                                                              Variétés. Dr L. Martin. - Les hôpitaux de coolies à la côte nord-est de Sumatra. / Géographie médicale. / Extraits des travaux du Conseil de santé impérial allemand, vol. XIII, 1896, d'après les Archiv für Schiffs und Tropen Hygiene, p. 334 et suiv. (Arbeiten aus dem Kaiserlichen Gesundheitsamt). / I. Schwabe. - Rapport médical sur Jab         1899
 Variétés. Géographie médicale. Extraits des travaux du Conseil de santé impérial allemand, vol. XIII, 1896, d'après les Archiv für Schiffs und Tropen Hygiene, p. 334 et suiv. (Arbeiten aus dem Kaiserlichen Gesundheitsamt). I. Schwabe. - Rapport médical sur Jab. / II. Plehn. - Le climat et l'état sanitaire du Cameroon du 1er juillet 1894 au 30 juin 1895. / F. Plehn. - La climatologie et la pathologie du Cameroon         1899
                                                                                                                                                                                                                                                                                       Étude sur la pathologie des européens dans l'Autsianaka (Madagascar) et notamment sur la fièvre bilieuse hématurique, par le Dr Laffay,          1899
                                                                                                                                                                                                                                                                                                                                                   Potages condensés pour l'alimentation des troupes en campagne, par Vignoli,          1899
                                                                                                                                                                                                                                                                                                                     Services de chirurgie du port de Rochefort (Statistique du premier semestre de 1899), par le Dr Fontorbe,          1899
                                                                                                                                                                                                                                                                                                                    Épidémie de peste bubonique observée à Ping S'Hiang (Kouang-Si [Chine]), mai-juin 1898, par le Dr Thoulon,          1899
                                                                                                                                                                                                                                                                                                                                                             Variétés. / Les associations de médecins de la marine en Allemagne         1899
                                                                                                                                                                                                                                                                              Variétés. Les associations de médecins de la marine en Allemagne. [Dr Gros.] / L'impaludisation par le moustique. (The Lancet, 9 septembre 1899.)         1899
                                                                                                                                                                                                                                                                   Variétés. / Le pansement japonais au charbon de paille. (Archives de médecine et de pharmacie militaires, t. XXVII, Dr Matignon ; t. XXXIV, Février-Robert.)         1899
                                                                                                       Rapport sur les expériences comparatives de désinfection, effectuées au laboratoire de bactériologie de l'hôpital maritime de Lorient, au moyen de l'aldéhyde formique (procédés de l'autoclave formogène Trillat et du dissociateur Guasco), et de l'anhydride sulfureux. Par les Drs Du Bois Saint-Sevrin et Pélissier         1899
                                                                                                                                                                                                                                                                                                Clinique chirurgicale de Rochefort. I. Gastrotomie (procédé de Fontan) pour rétrécissement de l'oesophage, par le Dr Fontorbe,          1899
                                                                                                                                                                                                                                                                                                                 Clinique chirurgicale de Rochefort. II. Hernie inguinale appendiculaire (cure radicale), par le Dr G. Gorron,          1899
                                                                                                                                                                                                                                                                                                                       Note sur le transport des blessés au poste de combat, à bord des bâtiments de la flotte, par le Dr Léo,          1899
                                                                                                                                                                                                                                                                                                                                            L'hygiène des marins pêcheurs et la pêche hauturière à vapeur, par le Dr L. Baret,          1899
                                                                                                                                                                                                                                                                                                                                                             Variétés. / Statistique médicale des Indes néerlandaises pour 1897         1899
                                                                                                                                                                                                                                                                                                               Variétés. Statistique médicale des Indes néerlandaises pour 1897. / Navires-hôpitaux de la Croix-Rouge japonaise         1899
                                                                                                                                                                                                 Rapport sur les expériences comparatives de désinfection effectuées au laboratoire de bactériologie de l'hôpital maritime de Lorient, au moyen de la méthode de M. E. Fournier, par les Drs Du Bois Saint-Sevrin et Bonnefoy,          1899
                                                                                                                                                                                                                                                                                                                Rapport de la conférence sur la syphilis qui s'est réunie à Bruxelles, le 4 septembre 1899, par le Dr Auffret,          1899
                                                                                                                                                                                                                                                                                                                            Notes d'hygiène sur le croiseur-école l'Iphigénie. Historique des améliorations. Par le Dr Gazeau,          1899
                                                                                                                                                                                                                                                                                                                                                                        Plaies pénétrantes de l'abdomen, par le Dr Lassabatie,          1899
                                                                                                                                                                                                                        Variétés. Rapports annuels du parc vaccinogène et de l'Institut Pasteur de Weltvreden. (Journal de médecine des Indes néerlandaises en 1898.). [Dr Gros.] / Treizième congrès international de médecine         1899
                                                                                                                                                                                                                                                                                                                                     Coup de chaleur et coup de soleil (Étiologie pathogénie, traitement.). Par le Dr Moussoir,         1900
                                                                                                                                                                                                                                                                           Clinique chirurgicale de Brest. I. Plaie d'arme à feu par balle de revolver au niveau du pli du coude. - Diagnositc radioscopique. Par le Dr Barret,         1900
